source,rotation_deg,flip_lr,flip_ud,crop_top,crop_bottom,crop_left,crop_right,specimen
HallPotCore/Corrosion/GaussBackside/corosion_backside_gaussian_300x300_z3_20260109_091129.tdms,270,0,0,,,,,
HallPotCore/Corrosion/GaussFrontside/corosion_frontside_gaussian_300x300_1khz_amp3.88_z1mm_20260106_200028.tdms,0,0,0,,,,,
HallPotCore/Corrosion/GaussFrontside/corosion_frontside_gaussian_300x300_1khz_amp3.88_z2mm_20260106_232414.tdms,0,0,0,,,,,
HallPotCore/Corrosion/GaussFrontside/corosion_frontside_gaussian_300x300_1khz_amp3.88_z3mm_20260107_024823.tdms,0,0,0,,,,,
HallPotCore/Corrosion/SquareBackside/corosion_backside_square_300x300_z1_20260108_154956.tdms,270,0,0,,,,,
HallPotCore/Corrosion/SquareBackside/corosion_backside_square_300x300_z2_20260108_191331.tdms,270,0,0,,,,,
HallPotCore/Corrosion/SquareBackside/corosion_backside_square_300x300_z3_20260108_223808.tdms,270,0,0,,,,,
HallPotCore/Corrosion/SquareFrontside/corosion_frontside_square_300x300_200Hz_2.1_z1mm.tdms_20260105_125851.tdms,0,0,0,,,,,
HallPotCore/Corrosion/SquareFrontside/corosion_frontside_square_300x300_200hz_amp2.1_z2mm_20260106_085451.tdms,0,0,0,,,,,
HallPotCore/Corrosion/SquareFrontside/corosion_frontside_square_300x300_200hz_amp2.1_z3mm_20260106_121905.tdms,0,0,0,,,,,
HallPotCore/Mixed/ChirpFrontside/mixed_frontside_chirp_300x300_z1_20260113_141252.tdms,0,0,0,,,,,
HallPotCore/Mixed/ChirpFrontside/mixed_frontside_chirp_300x300_z2_20260116_155733.tdms,0,0,0,,,,,
HallPotCore/Mixed/ChirpFrontside/mixed_frontside_chirp_300x300_z3_20260116_192213.tdms,0,0,0,,,,,
HallPotCore/Mixed/GaussFrontside/mixed_frontside_gaussian_300x300_z1_20260113_023614.tdms,0,0,0,,,,,
HallPotCore/Mixed/GaussFrontside/mixed_frontside_gaussian_300x300_z2_20260113_055945.tdms,0,0,0,,,,,
HallPotCore/Mixed/GaussFrontside/mixed_frontside_gaussian_300x300_z3_20260113_092420.tdms,0,0,0,,,,,
HallPotCore/Mixed/SquareFrontside/mixed_frontside_square_300x300_z1_20260112_125721.tdms,0,0,0,,,,,
HallPotCore/Mixed/SquareFrontside/mixed_frontside_square_300x300_z2_20260112_194705.tdms,0,0,0,,,,,
HallPotCore/Mixed/SquareFrontside/mixed_frontside_square_300x300_z3_20260112_231140.tdms,0,0,0,,,,,
HallPotCore/Rivet/ChirpFrontside/rivet_frontside_chirp_300x300_z1_20260111_120745.tdms,180,0,0,,,,,
HallPotCore/Rivet/ChirpFrontside/rivet_frontside_chirp_300x300_z2_20260111_163904.tdms,180,0,0,,,,,
HallPotCore/Rivet/ChirpFrontside/rivet_frontside_chirp_300x300_z3_20260111_200343.tdms,180,0,0,,,,,
HallPotCore/Rivet/GaussFrontside/rivet_frontside_gaussian_300x300_1khz_z1_20260111_015456.tdms,180,0,0,,,,,
HallPotCore/Rivet/GaussFrontside/rivet_frontside_gaussian_300x300_1khz_z2_20260111_051829.tdms,180,0,0,,,,,
HallPotCore/Rivet/GaussFrontside/rivet_frontside_gaussian_300x300_1khz_z3_20260111_084303.tdms,180,0,0,,,,,
